"date","date_obs","heure_obs","temperature_eau_c"
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2020-08-24,2020-08-24,"11:15:00",14.9
2019-09-17,2019-09-17,"15:58:00",13
2019-09-17,2019-09-17,"15:58:00",13
2019-09-17,2019-09-17,"15:58:00",13
2019-09-17,2019-09-17,"15:58:00",13
2019-09-17,2019-09-17,"15:58:00",13
2019-09-17,2019-09-17,"15:58:00",13
2019-09-17,2019-09-17,"15:58:00",13
2019-09-17,2019-09-17,"15:58:00",13
2019-09-17,2019-09-17,"15:58:00",13
2019-09-17,2019-09-17,"15:58:00",13
2019-09-17,2019-09-17,"15:58:00",13
2019-09-17,2019-09-17,"15:58:00",13
2019-09-17,2019-09-17,"15:58:00",13
2019-09-17,2019-09-17,"15:58:00",13
2019-09-17,2019-09-17,"15:58:00",13
2019-09-17,2019-09-17,"15:58:00",13
2019-09-17,2019-09-17,"15:58:00",13
2019-09-17,2019-09-17,"15:58:00",13
2019-09-17,2019-09-17,"15:58:00",13
2019-09-17,2019-09-17,"15:58:00",13
2019-09-17,2019-09-17,"15:58:00",13
2019-09-17,2019-09-17,"15:58:00",13
2019-09-17,2019-09-17,"15:58:00",13
2019-09-17,2019-09-17,"15:58:00",13
2019-09-17,2019-09-17,"15:58:00",13
2019-09-17,2019-09-17,"15:58:00",13
2019-09-17,2019-09-17,"15:58:00",13
2021-09-16,2021-09-16,"11:25:00",14.5
2021-09-16,2021-09-16,"11:25:00",14.5
2021-09-16,2021-09-16,"11:25:00",14.5
2021-09-16,2021-09-16,"11:25:00",14.5
2021-09-16,2021-09-16,"11:25:00",14.5
2021-09-16,2021-09-16,"11:25:00",14.5
2021-09-16,2021-09-16,"11:25:00",14.5
2021-09-16,2021-09-16,"11:25:00",14.5
2021-09-16,2021-09-16,"11:25:00",14.5
2021-09-16,2021-09-16,"11:25:00",14.5
2021-09-16,2021-09-16,"11:25:00",14.5
2021-09-16,2021-09-16,"11:25:00",14.5
2021-09-16,2021-09-16,"11:25:00",14.5
2021-09-16,2021-09-16,"11:25:00",14.5
2021-09-16,2021-09-16,"11:25:00",14.5
2021-09-16,2021-09-16,"11:25:00",14.5
2021-09-16,2021-09-16,"11:25:00",14.5
2021-09-16,2021-09-16,"11:25:00",14.5
2021-09-16,2021-09-16,"11:25:00",14.5
2021-09-16,2021-09-16,"11:25:00",14.5
2021-09-16,2021-09-16,"11:25:00",14.5
2021-09-16,2021-09-16,"11:25:00",14.5
2021-09-16,2021-09-16,"11:25:00",14.5
2021-09-16,2021-09-16,"11:25:00",14.5
2021-09-16,2021-09-16,"11:25:00",14.5
2021-09-16,2021-09-16,"11:25:00",14.5
2021-09-16,2021-09-16,"11:25:00",14.5
2021-09-16,2021-09-16,"11:25:00",14.5
2021-09-16,2021-09-16,"11:25:00",14.5
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2018-09-20,2018-09-20,"15:00:00",12
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2020-09-21,2020-09-21,"12:30:00",7.9
2016-09-21,2016-09-21,"11:00:00",14.6
2016-09-21,2016-09-21,"11:00:00",14.6
2016-09-21,2016-09-21,"11:00:00",14.6
2016-09-21,2016-09-21,"11:00:00",14.6
2016-09-21,2016-09-21,"11:00:00",14.6
2016-09-21,2016-09-21,"11:00:00",14.6
2016-09-21,2016-09-21,"11:00:00",14.6
2016-09-21,2016-09-21,"11:00:00",14.6
2016-09-21,2016-09-21,"11:00:00",14.6
2016-09-21,2016-09-21,"11:00:00",14.6
2016-09-21,2016-09-21,"11:00:00",14.6
2016-09-21,2016-09-21,"11:00:00",14.6
2016-09-21,2016-09-21,"11:00:00",14.6
2016-09-21,2016-09-21,"11:00:00",14.6
2016-09-21,2016-09-21,"11:00:00",14.6
2016-09-21,2016-09-21,"11:00:00",14.6
2016-09-21,2016-09-21,"11:00:00",14.6
2016-09-21,2016-09-21,"11:00:00",14.6
2016-09-21,2016-09-21,"11:00:00",14.6
2016-09-21,2016-09-21,"11:00:00",14.6
2016-09-21,2016-09-21,"11:00:00",14.6
2016-09-21,2016-09-21,"11:00:00",14.6
2016-09-21,2016-09-21,"11:00:00",14.6
2016-09-21,2016-09-21,"11:00:00",14.6
2016-09-21,2016-09-21,"11:00:00",14.6
2016-09-21,2016-09-21,"11:00:00",14.6
